HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
,,7,7,2,-2,3.0,1.0,1,0,1.0,3.0,2.0,-2.0,3,1,1,1.93,3.43,3.98,2.11,1.71
,,14,21,2,-2,2.5,0.0,2,0,0.5,2.0,2.0,-2.0,2,0,1,1.74,3.71,4.66,1.91,1.88
,,20,14,1,-1,2.33,1.0,3,0,0.67,2.0,1.67,-1.0,2,1,1,1.68,3.79,4.9,1.85,1.93
,,22,15,1,-1,2.5,2.0,4,0,1.0,3.0,1.5,-1.0,3,2,1,1.68,3.94,4.69,1.84,1.95
,,20,21,1,-1,2.2,0.0,5,0,0.8,1.0,1.4,-1.0,1,0,1,1.66,3.94,4.85,1.75,2.04
,,4,10,1,-1,2.0,1.0,5,0,0.8,2.0,1.2,-1.0,2,1,1,3.33,3.54,2.1,1.74,2.06
,,10,10,3,-3,2.4,1.0,5,0,1.0,4.0,1.4,-3.0,4,1,1,1.64,4.04,4.91,1.7,2.11
,,25,11,-1,1,2.0,1.0,4,1,1.0,0.0,1.0,1.0,0,1,-1,7.54,5.06,1.37,1.52,2.46
,,3,28,0,0,1.6,1.0,3,0,0.8,1.0,0.8,0.0,1,1,0,1.53,4.15,5.93,1.81,1.98
,,14,14,-2,2,1.6,3.0,2,1,1.4,1.0,0.2,2.0,1,3,-1,2.15,3.5,3.21,1.79,2.01
,,12,7,-1,1,1.4,2.0,1,1,1.6,1.0,-0.2,1.0,1,2,-1,1.53,4.09,5.78,1.82,1.95
,,10,7,0,0,0.6,1.0,0,0,1.4,1.5,-0.8,-0.5,0,0,0,2.42,3.35,2.83,1.85,1.92
,,13,20,-3,3,0.6,2.0,0,1,1.8,1.5,-1.2,0.5,0,3,-1,1.99,3.47,3.67,1.98,1.81
,,28,28,1,-1,0.6,0.0,1,0,1.6,1.5,-1.0,-1.5,1,0,1,2.16,3.21,3.47,2.0,1.79
,,8,15,0,0,0.8,1.0,1,0,1.4,1.5,-0.6,-0.5,2,2,0,2.14,3.34,3.35,1.92,1.86
,,7,7,4,-4,4.0,0.0,1,0,0.0,2.33,4.0,-2.33,4,0,1,1.16,7.7,14.8,1.34,3.13
,,28,29,3,-3,3.5,0.5,2,0,0.0,2.5,3.5,-2.0,3,0,1,1.62,4.28,4.75,1.47,2.6
,,13,20,2,-2,3.0,0.67,3,0,0.0,1.67,3.0,-1.0,2,0,1,1.17,7.81,13.28,1.33,3.17
,,35,21,0,0,2.75,2.0,3,0,0.5,2.0,2.25,0.0,2,2,0,1.23,6.52,10.72,1.41,2.79
