HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
0,19,7,7,2,-2,2.0,0.0,1,0,0.0,2.0,2.0,-2.0,2,0,1,1.18,7.86,15.87,1.46,2.7
0,2,14,14,0,0,1.5,1.0,1,0,0.5,1.0,1.0,0.0,1,1,0,1.35,5.66,8.11,1.53,2.52
0,9,28,14,2,-2,2.33,2.0,2,0,1.0,4.0,1.33,-2.0,4,2,1,1.18,7.82,15.12,1.49,2.55
0,15,7,5,2,-2,2.5,1.0,3,0,1.0,3.0,1.5,-2.0,3,1,1,1.14,9.2,18.63,1.36,3.13
0,10,22,22,0,0,2.4,2.0,3,0,1.2,2.0,1.2,0.0,2,2,0,2.49,3.37,2.89,1.89,1.94
0,24,27,29,3,-3,2.6,0.0,3,0,1.2,3.0,1.4,-3.0,3,0,1,1.37,4.97,8.9,1.81,2.03
0,12,11,10,2,-2,2.8,0.0,4,0,1.0,2.0,1.8,-2.0,2,0,1,1.46,4.73,6.92,1.63,2.31
0,6,10,13,0,0,2.0,0.0,3,0,0.6,0.0,1.4,0.0,0,0,0,1.23,6.33,13.36,1.66,2.23
0,26,13,13,1,-1,1.6,0.0,3,0,0.4,1.0,1.2,-1.0,1,0,1,1.16,8.37,17.31,1.39,2.99
0,16,19,20,1,-1,1.6,1.0,4,0,0.2,2.0,1.4,-1.0,2,1,1,1.4,5.29,6.86,1.43,2.8
0,1,3,3,0,0,1.4,2.0,3,0,0.6,2.0,0.8,0.0,2,2,0,1.51,4.35,6.45,1.82,2.01
