HomeTeam,AwayTeam,HomeLastMatch,AwayLastMatch,HomeGoalDiff,AwayGoalDiff,HomeAvgGoals,AwayAvgGoals,HomeWinStreak,AwayWinStreak,HomeAvgConceded,AwayAvgConceded,HomeGoalDiffAvg,AwayGoalDiffAvg,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,MarketAverageHomeWinOdds,MarketAverageDrawWinOdds,MarketAverageAwayWinOdds,MarketAverageOver2.5Goals,MarketAverageUnder2.5Goals
0,24,7,7,1,-1,2.0,1.0,1,0,1.0,2.0,1.0,-1.0,2,1,1,1.18,7.64,15.67,1.42,2.85
0,7,14,14,0,0,2.0,2.0,1,0,1.5,2.0,0.5,0.0,2,2,0,1.23,6.49,13.35,1.48,2.67
0,12,8,15,2,-2,2.33,1.0,2,0,1.33,3.0,1.0,-2.0,3,1,1,1.77,4.04,4.38,1.55,2.47
0,16,21,22,0,0,2.25,2.0,2,0,1.5,2.0,0.75,0.0,2,2,0,1.7,4.36,4.5,1.51,2.58
0,11,14,8,1,-1,2.0,0.0,3,0,1.2,1.0,0.8,-1.0,1,0,1,2.92,3.49,2.44,1.78,2.05
0,14,20,21,5,-5,2.6,0.0,3,0,1.0,5.0,1.6,-5.0,5,0,1,1.13,9.61,21.6,1.36,3.13
0,3,14,14,2,-2,2.8,1.0,4,0,0.8,3.0,2.0,-2.0,3,1,1,1.19,7.34,15.07,1.49,2.62
0,19,21,5,1,-1,2.6,1.0,4,0,0.8,2.0,1.8,-1.0,2,1,1,1.27,5.95,11.58,1.65,2.27
0,2,15,14,2,-2,2.6,0.0,5,0,0.4,2.0,2.2,-2.0,2,0,1,1.48,4.73,6.5,1.58,2.36
0,18,11,18,-2,2,2.4,2.0,4,1,0.8,0.0,1.6,2.0,0,2,-1,1.35,5.39,8.64,1.58,2.4
0,5,23,24,5,-5,2.4,0.0,4,0,0.8,5.0,1.6,-5.0,5,0,1,1.29,5.74,11.19,1.75,2.1
0,10,15,14,2,-2,2.4,1.0,4,0,0.8,3.0,1.6,-2.0,3,1,1,2.25,3.67,3.07,1.67,2.23
0,13,20,14,3,-3,2.8,1.0,4,0,0.8,4.0,2.0,-3.0,4,1,1,1.38,5.34,7.53,1.48,2.67
0,20,14,12,1,-1,2.8,1.0,4,0,1.0,2.0,1.8,-1.0,2,1,1,1.23,6.84,12.02,1.44,2.78
0,25,25,4,2,-2,3.2,0.0,5,0,0.6,2.0,2.6,-2.0,2,0,1,1.1,11.25,22.73,1.26,3.86
0,1,11,11,-2,2,2.2,2.0,4,1,1.0,0.0,1.2,2.0,0,2,-1,1.28,6.1,9.89,1.48,2.66
0,4,9,16,5,-5,2.6,0.0,4,0,0.8,5.0,1.8,-5.0,5,0,1,1.45,4.93,6.78,1.53,2.53
0,23,11,10,3,-3,2.4,0.0,4,0,0.6,3.0,1.8,-3.0,3,0,1,1.2,7.59,12.74,1.34,3.23
0,6,15,16,1,-1,2.4,1.0,4,0,0.6,2.0,1.8,-1.0,2,1,1,1.17,8.04,15.37,1.38,3.04
1,6,7,7,4,-4,4.0,0.5,1,0,0.0,3.0,4.0,-2.5,4,0,1,1.7,3.91,5.0,1.89,1.94
1,5,27,21,2,-2,3.5,0.5,2,0,0.5,4.0,3.0,-3.5,3,1,1,1.9,3.7,4.07,1.87,1.97
1,2,14,14,5,-5,4.33,0.5,3,0,0.67,4.0,3.67,-3.5,6,1,1,2.56,3.92,2.55,1.43,2.84
1,18,22,28,3,-3,4.25,1.5,4,1,0.75,2.0,3.5,-0.5,4,1,1,1.9,3.86,3.88,1.58,2.39
1,25,7,8,2,-2,4.0,0.5,5,0,0.8,2.5,3.2,-2.0,3,1,1,1.28,6.19,10.79,1.51,2.59
1,7,14,14,2,-2,3.8,1.5,5,0,1.0,2.5,2.8,-1.0,3,1,1,1.59,4.28,5.66,1.69,2.19
1,11,24,24,1,-1,3.4,0.0,5,0,0.8,1.0,2.6,-1.0,1,0,1,4.45,4.26,1.73,1.51,2.57
1,0,3,4,1,-1,2.4,0.0,5,0,0.6,1.0,1.8,-1.0,1,0,1,3.41,3.66,2.11,1.72,2.15
1,14,13,6,0,0,1.8,0.5,4,0,0.6,3.0,1.2,-2.5,1,1,0,1.24,6.67,11.7,1.46,2.74
1,3,8,7,1,-1,1.8,1.5,4,0,0.8,3.0,1.0,-1.5,3,2,1,1.37,5.27,8.15,1.57,2.43
1,13,31,29,-2,2,1.4,2.0,3,1,1.2,2.5,0.2,-0.5,1,3,-1,1.86,4.07,3.92,1.51,2.57
1,12,12,10,-1,1,1.4,1.5,2,1,1.6,2.0,-0.2,-0.5,1,2,-1,2.17,3.83,3.11,1.55,2.46
